sample,fastq
stau1_high,/camp/lab/luscomben/home/shared/projects/ira-nobby/comp_hiclip/results_nonhybrid//stau1_high.nonhybrid.merged.fastq.gz
stau1_low,/camp/lab/luscomben/home/shared/projects/ira-nobby/comp_hiclip/results_nonhybrid//stau1_low.nonhybrid.merged.fastq.gz
