sample,fastq
stau1_high,/camp/lab/luscomben/home/shared/projects/ira-nobby/comp_hiclip/revisions/preprocessed/LigPlusHigh.nolinker.fastq.gz
stau1_low,/camp/lab/luscomben/home/shared/projects/ira-nobby/comp_hiclip/revisions/preprocessed/LigPlusLow.nolinker.fastq.gz
